repository,quarantine_date,date_cleared,path_name,format,quarantined,policy_name,threat_level,cve
npm-proxy,2021-10-11T15:10:53.447+0000,,nyc/-/nyc-13.0.1.tgz,npm,True,Security-Critical,10,sonatype-2019-0206
npm-proxy,2021-10-11T15:10:53.447+0000,,nyc/-/nyc-13.0.1.tgz,npm,True,Security-Critical,10,sonatype-2019-0253
npm-proxy,2021-10-11T15:10:53.447+0000,,nyc/-/nyc-13.0.1.tgz,npm,True,Security-Critical,10,sonatype-2019-0394
npm-proxy,2021-10-11T15:10:53.447+0000,,nyc/-/nyc-13.0.1.tgz,npm,True,Security-High,9,sonatype-2019-0058
npm-proxy,2021-10-11T15:10:53.447+0000,,nyc/-/nyc-13.0.1.tgz,npm,True,Security-High,9,sonatype-2019-0462
npm-proxy,2021-10-11T15:10:53.447+0000,,nyc/-/nyc-13.0.1.tgz,npm,True,Security-High,9,sonatype-2019-0496
npm-proxy,2021-10-11T15:10:53.447+0000,,nyc/-/nyc-13.0.1.tgz,npm,True,Security-High,9,sonatype-2020-0293
npm-proxy,2021-10-11T15:10:53.447+0000,,nyc/-/nyc-13.0.1.tgz,npm,True,Security-High,9,sonatype-2020-1040
npm-proxy,2021-10-11T15:10:53.447+0000,,nyc/-/nyc-13.0.1.tgz,npm,True,Security-High,9,sonatype-2021-0236
npm-proxy,2021-10-11T15:10:53.447+0000,,nyc/-/nyc-13.0.1.tgz,npm,True,Security-High,9,sonatype-2021-0449
npm-proxy,2021-10-11T15:10:53.447+0000,,nyc/-/nyc-13.0.1.tgz,npm,True,Security-High,9,sonatype-2021-1169
maven-central-fw,2021-10-11T15:32:44.617+0000,,io/github/x-stream/mxparser/1.2.2/mxparser-1.2.2.jar,maven,True,License-Not-Provided,9,
maven-central-fw,2021-10-11T15:32:45.274+0000,,ch/qos/logback/logback-core/1.2.3/logback-core-1.2.3.jar,maven,True,Security-High,9,sonatype-2021-1175
maven-central-fw,2021-10-11T15:32:45.345+0000,,org/bouncycastle/bcprov-jdk15on/1.56/bcprov-jdk15on-1.56.jar,maven,True,Security-High,9,CVE-2018-1000180
maven-central-fw,2021-10-11T15:32:45.745+0000,,io/undertow/undertow-core/2.0.28.Final/undertow-core-2.0.28.Final.jar,maven,True,Security-Critical,10,CVE-2020-1745
maven-central-fw,2021-10-11T15:32:45.745+0000,,io/undertow/undertow-core/2.0.28.Final/undertow-core-2.0.28.Final.jar,maven,True,Security-High,9,CVE-2019-14888
maven-central-fw,2021-10-11T15:32:45.745+0000,,io/undertow/undertow-core/2.0.28.Final/undertow-core-2.0.28.Final.jar,maven,True,Security-High,9,CVE-2020-10705
maven-central-fw,2021-10-11T15:32:45.745+0000,,io/undertow/undertow-core/2.0.28.Final/undertow-core-2.0.28.Final.jar,maven,True,Security-High,9,CVE-2020-1757
maven-central-fw,2021-10-11T15:32:46.189+0000,,io/undertow/undertow-websockets-jsr/2.0.28.Final/undertow-websockets-jsr-2.0.28.Final.jar,maven,True,Security-High,9,CVE-2021-3690
maven-central-fw,2021-10-11T15:32:46.546+0000,,org/glassfish/jakarta.el/3.0.3/jakarta.el-3.0.3.jar,maven,True,Security-High,9,sonatype-2020-1438
maven-central-fw,2021-10-11T15:32:47.100+0000,,axis/axis/1.2/axis-1.2.jar,maven,True,Security-High,9,CVE-2019-0227
maven-central-fw,2021-10-11T15:32:51.274+0000,,org/springframework/spring-web/5.2.4.RELEASE/spring-web-5.2.4.RELEASE.jar,maven,True,Security-Critical,10,CVE-2016-1000027
maven-central-fw,2021-10-11T15:32:51.274+0000,,org/springframework/spring-web/5.2.4.RELEASE/spring-web-5.2.4.RELEASE.jar,maven,True,Security-High,9,CVE-2021-22118
maven-central-fw,2021-10-11T15:32:51.488+0000,,org/springframework/security/spring-security-web/5.1.4.RELEASE/spring-security-web-5.1.4.RELEASE.jar,maven,True,Security-High,9,CVE-2021-22112
maven-central-fw,2021-10-11T15:32:51.882+0000,,javax/servlet/jstl/1.2/jstl-1.2.jar,maven,True,Security-High,9,CVE-2015-0254
maven-central-fw,2021-10-11T15:32:51.933+0000,,taglibs/standard/1.1.2/standard-1.1.2.jar,maven,True,Security-High,9,CVE-2015-0254
maven-central-fw,2021-10-13T11:11:05.642+0000,,com/sonatype/clm/clm-maven-plugin/2.24.1-01/clm-maven-plugin-2.24.1-01.jar,maven,True,License-Not-Provided,9,
maven-central-fw,2021-10-13T11:11:05.642+0000,,com/sonatype/clm/clm-maven-plugin/2.24.1-01/clm-maven-plugin-2.24.1-01.jar,maven,True,License-Banned,10,
